Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
31,No,Travel_Rarely,Research & Development,7,76,Male,2,Laboratory Technician,4,Divorced,5915,No,22,1,10,2,7,7,1
37,No,Travel_Rarely,Research & Development,1,77,Male,2,Manufacturing Director,3,Divorced,5993,No,18,1,7,4,7,5,0
32,No,Travel_Rarely,Research & Development,1,78,Male,2,Manufacturing Director,4,Married,6162,Yes,22,1,9,3,9,8,7
38,No,Travel_Frequently,Research & Development,29,79,Female,2,Laboratory Technician,4,Single,2406,No,11,0,10,3,10,3,9
50,No,Travel_Rarely,Research & Development,7,80,Female,5,Research Director,3,Divorced,18740,Yes,12,1,29,2,27,3,13
59,No,Travel_Rarely,Sales,25,81,Female,3,Sales Executive,1,Single,7637,No,11,0,28,2,21,16,7
36,No,Travel_Rarely,Research & Development,8,83,Female,3,Healthcare Representative,3,Divorced,10096,No,13,3,17,3,17,14,12
55,No,Travel_Rarely,Research & Development,8,84,Female,4,Manager,3,Divorced,14756,Yes,14,3,21,3,5,0,0
36,No,Travel_Frequently,Research & Development,11,85,Male,2,Manufacturing Director,2,Single,6499,No,13,0,6,3,6,5,0
45,No,Travel_Rarely,Research & Development,7,86,Male,3,Research Scientist,1,Divorced,9724,No,17,1,25,3,1,0,0
35,No,Travel_Frequently,Research & Development,1,88,Male,1,Research Scientist,1,Married,2194,No,13,1,5,2,3,2,1
36,Yes,Travel_Rarely,Research & Development,9,90,Male,1,Research Scientist,3,Married,3388,Yes,17,1,2,2,1,0,0
59,No,Travel_Frequently,Sales,1,91,Female,2,Sales Executive,3,Single,5473,No,11,0,20,2,4,3,1
29,No,Travel_Rarely,Research & Development,2,94,Male,1,Research Scientist,2,Married,2703,No,23,1,6,3,5,4,0
31,No,Travel_Rarely,Research & Development,1,95,Male,1,Research Scientist,2,Single,2501,No,17,0,1,3,1,1,1
32,No,Travel_Rarely,Research & Development,1,96,Male,2,Research Scientist,2,Married,6220,No,17,2,10,3,10,4,0
36,No,Travel_Rarely,Research & Development,6,97,Female,1,Laboratory Technician,4,Married,3038,No,12,0,5,3,1,0,0
31,No,Travel_Rarely,Research & Development,8,98,Female,2,Manufacturing Director,4,Single,4424,No,23,0,11,3,11,7,1
35,No,Travel_Rarely,Sales,1,100,Male,2,Sales Executive,1,Single,4312,No,14,0,16,3,15,13,2
45,No,Travel_Rarely,Research & Development,6,101,Male,3,Research Director,1,Married,13245,Yes,14,0,17,4,0,0,0
37,No,Travel_Rarely,Research & Development,7,102,Male,3,Research Director,3,Single,13664,No,13,0,16,4,5,2,0
46,No,Travel_Rarely,Human Resources,5,103,Male,2,Human Resources,2,Divorced,5021,Yes,22,1,16,3,4,2,0
30,No,Travel_Rarely,Research & Development,1,104,Male,2,Laboratory Technician,4,Married,5126,Yes,12,2,10,2,10,8,3
35,No,Travel_Rarely,Research & Development,1,105,Male,1,Research Scientist,3,Single,2859,No,18,0,6,3,6,4,0
55,No,Travel_Rarely,Sales,1,106,Male,3,Sales Executive,4,Married,10239,No,14,1,24,3,1,0,1
38,No,Non-Travel,Research & Development,6,107,Female,2,Research Scientist,4,Divorced,5329,Yes,12,3,17,3,13,11,1
34,No,Travel_Rarely,Research & Development,1,110,Male,2,Manufacturing Director,2,Married,4325,No,15,0,5,3,5,2,1
56,No,Travel_Rarely,Research & Development,7,112,Male,3,Manufacturing Director,4,Single,7260,No,11,0,37,2,6,4,0
23,No,Travel_Rarely,Sales,2,113,Male,1,Sales Representative,1,Divorced,2322,No,13,1,3,3,0,0,0
51,No,Travel_Rarely,Research & Development,9,116,Male,1,Laboratory Technician,4,Married,2075,No,23,2,10,3,4,2,0
30,No,Travel_Rarely,Research & Development,2,117,Male,2,Healthcare Representative,4,Married,4152,No,19,3,11,3,11,10,10
46,Yes,Travel_Rarely,Sales,9,118,Male,3,Sales Executive,4,Single,9619,No,16,0,9,3,9,8,4
40,No,Travel_Frequently,Research & Development,1,119,Male,4,Healthcare Representative,2,Married,13503,No,22,1,22,2,22,3,11
51,No,Travel_Rarely,Sales,21,120,Male,2,Sales Executive,4,Single,5441,Yes,22,0,11,1,10,7,1
30,No,Travel_Rarely,Sales,4,121,Female,2,Sales Executive,2,Divorced,5209,Yes,12,3,11,2,11,8,2
46,No,Travel_Frequently,Research & Development,1,124,Male,3,Healthcare Representative,1,Married,10673,Yes,13,1,21,2,10,9,9
32,No,Travel_Rarely,Sales,6,125,Male,2,Sales Executive,3,Single,5010,No,16,0,12,3,11,8,5
54,No,Travel_Rarely,Research & Development,2,126,Female,3,Research Director,3,Married,13549,No,12,1,16,1,4,3,0
24,No,Travel_Rarely,Sales,3,128,Female,2,Sales Executive,3,Married,4999,No,21,1,4,2,3,2,0
28,No,Non-Travel,Sales,4,129,Male,2,Sales Executive,3,Married,4221,No,15,0,5,4,5,4,0
58,No,Travel_Rarely,Sales,10,131,Male,4,Sales Executive,3,Single,13872,No,13,0,38,2,37,10,1
44,No,Non-Travel,Research & Development,23,132,Male,2,Laboratory Technician,2,Married,2042,No,12,1,17,4,3,2,1
37,Yes,Travel_Rarely,Human Resources,6,133,Male,1,Human Resources,1,Divorced,2073,Yes,22,0,7,3,3,2,0
32,No,Travel_Rarely,Research & Development,1,134,Male,1,Research Scientist,1,Single,2956,No,13,0,1,3,1,0,0
20,Yes,Travel_Frequently,Research & Development,6,137,Female,1,Laboratory Technician,4,Single,2926,Yes,18,0,1,3,1,0,1
34,No,Travel_Rarely,Research & Development,6,138,Female,2,Research Scientist,3,Single,4809,No,14,0,16,3,16,13,2
37,No,Non-Travel,Research & Development,2,139,Male,2,Healthcare Representative,4,Divorced,5163,No,14,1,17,4,1,0,0
59,No,Non-Travel,Human Resources,2,140,Female,5,Manager,4,Married,18844,No,21,1,30,3,3,2,2
50,No,Travel_Frequently,Research & Development,1,141,Female,5,Research Director,2,Married,18172,Yes,19,0,28,2,8,3,0
25,Yes,Travel_Rarely,Sales,5,142,Male,2,Sales Executive,3,Single,5744,Yes,11,0,6,3,6,4,0
25,No,Travel_Rarely,Research & Development,7,143,Male,1,Research Scientist,4,Married,2889,No,11,2,2,3,2,2,2
22,No,Travel_Rarely,Research & Development,15,144,Female,1,Laboratory Technician,4,Single,2871,No,15,0,1,3,0,0,0
51,No,Travel_Frequently,Research & Development,1,145,Female,3,Healthcare Representative,1,Single,7484,No,20,0,23,2,13,12,12
34,Yes,Travel_Frequently,Research & Development,7,147,Male,2,Laboratory Technician,3,Single,6074,Yes,24,0,9,3,9,7,0
54,No,Non-Travel,Human Resources,26,148,Female,4,Manager,4,Single,17328,Yes,12,0,23,3,5,3,4
24,No,Travel_Rarely,Research & Development,18,150,Male,1,Laboratory Technician,3,Married,2774,No,12,1,6,3,5,3,1
34,No,Travel_Rarely,Research & Development,6,151,Female,2,Research Scientist,2,Divorced,4505,No,15,1,12,3,1,0,0
37,No,Travel_Rarely,Sales,3,152,Male,3,Sales Executive,4,Single,7428,No,12,0,12,3,5,3,1
34,No,Travel_Rarely,Research & Development,5,153,Female,3,Manager,1,Single,11631,No,12,0,14,3,11,10,5
36,No,Travel_Frequently,Sales,11,154,Female,3,Sales Executive,4,Married,9738,No,14,1,10,3,9,7,2
36,No,Travel_Rarely,Research & Development,3,155,Female,1,Laboratory Technician,4,Divorced,2835,No,22,1,7,3,1,0,0
43,No,Travel_Frequently,Sales,26,158,Male,4,Manager,4,Married,16959,Yes,12,2,25,4,25,12,4
30,No,Travel_Frequently,Research & Development,23,159,Male,1,Research Scientist,3,Divorced,2613,No,25,3,10,2,10,7,0
33,No,Non-Travel,Sales,22,160,Male,2,Sales Executive,2,Married,6146,No,13,1,8,4,7,7,0
56,Yes,Travel_Rarely,Research & Development,14,161,Female,1,Research Scientist,2,Married,4963,Yes,18,3,7,3,5,4,4
51,No,Travel_Rarely,Research & Development,6,162,Male,5,Research Director,3,Single,19537,No,13,0,23,3,20,18,15
31,Yes,Travel_Rarely,Sales,6,163,Male,2,Sales Executive,3,Married,6172,Yes,18,0,12,2,7,7,7
26,No,Travel_Rarely,Research & Development,6,164,Female,1,Research Scientist,2,Married,2368,No,19,0,5,2,5,4,4
58,Yes,Travel_Rarely,Research & Development,23,165,Female,3,Healthcare Representative,4,Married,10312,No,12,1,40,2,40,10,15
19,Yes,Travel_Rarely,Sales,22,167,Male,1,Sales Representative,3,Single,1675,Yes,19,0,0,2,0,0,0
22,No,Travel_Rarely,Research & Development,2,169,Male,1,Laboratory Technician,4,Married,2523,No,14,1,3,3,2,1,2
49,No,Travel_Rarely,Research & Development,20,170,Female,2,Manufacturing Director,1,Married,6567,No,14,0,16,2,15,11,5
43,No,Travel_Frequently,Research & Development,28,171,Female,1,Research Scientist,3,Single,4739,No,12,0,18,3,3,2,1
50,No,Travel_Frequently,Sales,12,174,Female,3,Sales Executive,4,Single,9208,No,11,0,16,3,2,2,2
31,Yes,Travel_Rarely,Sales,20,175,Female,2,Sales Executive,3,Married,4559,Yes,11,1,4,3,2,2,2
41,No,Travel_Rarely,Sales,9,176,Male,3,Sales Executive,3,Divorced,8189,Yes,13,1,12,3,9,7,0
26,No,Travel_Rarely,Human Resources,25,177,Female,1,Human Resources,3,Married,2942,No,23,1,8,3,8,7,5
36,No,Travel_Rarely,Research & Development,6,178,Male,2,Manufacturing Director,2,Divorced,4941,No,20,2,7,3,3,2,0
51,Yes,Travel_Frequently,Research & Development,8,179,Male,3,Manufacturing Director,4,Single,10650,No,15,0,18,3,4,2,0
39,No,Travel_Rarely,Sales,4,182,Female,2,Sales Executive,3,Married,5902,No,14,1,17,4,15,11,5
25,No,Travel_Rarely,Sales,28,183,Male,2,Sales Executive,3,Married,8639,No,18,0,6,3,2,2,2
30,No,Travel_Rarely,Human Resources,9,184,Male,2,Human Resources,4,Married,6347,Yes,19,0,12,1,11,9,4
32,Yes,Travel_Rarely,Research & Development,9,190,Female,1,Laboratory Technician,1,Single,4200,No,22,0,10,4,5,4,0
45,No,Travel_Rarely,Research & Development,29,192,Male,1,Research Scientist,4,Single,3452,No,13,0,9,2,6,5,0
38,No,Travel_Rarely,Research & Development,3,193,Female,2,Research Scientist,3,Single,4317,Yes,20,0,19,3,3,2,2
30,No,Travel_Rarely,Research & Development,18,194,Female,1,Research Scientist,3,Single,2632,No,14,0,5,2,5,4,0
32,No,Travel_Frequently,Sales,9,195,Male,2,Sales Executive,4,Divorced,4668,No,17,3,9,4,8,7,0
30,No,Travel_Rarely,Research & Development,5,197,Female,1,Research Scientist,1,Divorced,3204,No,14,1,8,3,3,2,2
30,No,Travel_Rarely,Research & Development,2,198,Male,1,Laboratory Technician,4,Single,2720,No,13,0,6,3,5,3,1
41,No,Travel_Frequently,Research & Development,10,199,Male,4,Manager,1,Divorced,17181,No,13,1,21,2,7,6,7
41,No,Travel_Rarely,Research & Development,9,200,Male,1,Laboratory Technician,1,Married,2238,No,21,1,7,3,5,0,1
19,No,Travel_Rarely,Research & Development,3,201,Female,1,Laboratory Technician,2,Single,1483,No,14,0,1,3,1,0,0
40,No,Travel_Frequently,Research & Development,26,202,Female,2,Research Scientist,2,Divorced,5605,No,11,1,20,3,20,7,2
35,No,Travel_Rarely,Sales,1,204,Male,3,Sales Executive,2,Married,7295,No,13,2,10,3,10,8,0
53,No,Travel_Rarely,Sales,6,205,Male,2,Sales Representative,3,Married,2306,Yes,20,1,13,1,7,7,4
45,No,Travel_Rarely,Research & Development,9,206,Male,2,Laboratory Technician,2,Divorced,2348,No,18,1,20,1,17,9,0
32,No,Travel_Frequently,Sales,8,207,Female,3,Sales Executive,4,Single,8998,No,14,0,9,3,9,8,3
29,No,Non-Travel,Research & Development,1,208,Male,2,Manufacturing Director,3,Married,4319,No,13,1,10,3,10,7,0
51,No,Travel_Rarely,Research & Development,7,211,Male,2,Manufacturing Director,3,Married,6132,No,17,0,10,3,1,0,0
58,No,Travel_Rarely,Research & Development,9,214,Female,1,Research Scientist,2,Married,3346,Yes,20,1,9,2,1,0,0
40,No,Travel_Rarely,Sales,4,215,Male,3,Sales Executive,4,Married,10855,No,11,1,15,2,12,11,2
34,No,Travel_Frequently,Sales,2,216,Female,1,Sales Representative,3,Married,2231,No,18,1,6,3,4,3,1
22,No,Travel_Rarely,Research & Development,19,217,Male,1,Research Scientist,4,Married,2323,No,24,2,2,3,2,2,2
27,No,Non-Travel,Research & Development,9,218,Male,1,Research Scientist,2,Divorced,2024,No,18,1,6,1,2,2,2
28,No,Travel_Rarely,Research & Development,21,221,Male,1,Research Scientist,4,Married,2713,No,11,1,5,1,5,2,0
57,No,Travel_Rarely,Research & Development,24,223,Male,3,Healthcare Representative,4,Divorced,9439,Yes,16,1,12,1,5,3,1
27,No,Non-Travel,Research & Development,3,224,Male,1,Research Scientist,3,Divorced,2566,Yes,15,1,1,2,1,1,0
50,No,Travel_Rarely,Research & Development,11,226,Female,5,Manager,2,Single,19926,No,15,0,21,3,5,4,4
41,No,Travel_Rarely,Research & Development,14,227,Male,1,Research Scientist,3,Divorced,2451,No,12,1,13,3,9,8,1
30,No,Travel_Rarely,Sales,5,228,Female,3,Sales Executive,4,Married,9419,No,12,1,12,3,10,9,7
38,No,Travel_Rarely,Sales,1,230,Female,2,Sales Executive,4,Single,8686,No,22,0,12,4,8,3,0
32,No,Travel_Rarely,Research & Development,6,231,Male,1,Research Scientist,3,Single,3038,No,20,0,8,3,5,4,1
27,No,Travel_Rarely,Research & Development,17,233,Male,1,Research Scientist,2,Married,3058,Yes,16,1,6,2,5,2,1
19,Yes,Travel_Frequently,Sales,1,235,Female,1,Sales Representative,1,Single,2325,No,21,0,1,4,0,0,0
36,No,Travel_Frequently,Research & Development,3,238,Male,1,Laboratory Technician,2,Single,2088,No,12,0,13,2,8,7,7
30,No,Non-Travel,Research & Development,9,239,Male,2,Laboratory Technician,1,Divorced,3072,No,11,2,12,3,12,9,6
45,No,Travel_Rarely,Sales,4,240,Female,2,Sales Executive,1,Divorced,5006,Yes,11,1,9,4,5,4,0
56,No,Travel_Rarely,Research & Development,8,241,Female,1,Research Scientist,1,Divorced,4257,Yes,18,1,19,3,2,2,2
33,No,Travel_Rarely,Research & Development,2,242,Male,1,Research Scientist,4,Single,2500,No,14,0,4,4,3,1,0
19,Yes,Travel_Rarely,Research & Development,2,243,Male,1,Laboratory Technician,4,Single,1102,No,22,0,1,2,1,0,1
46,No,Travel_Rarely,Sales,1,244,Female,3,Sales Executive,1,Divorced,10453,No,25,3,24,3,24,13,15
38,No,Travel_Rarely,Research & Development,9,245,Female,1,Laboratory Technician,4,Single,2288,No,12,0,2,3,2,2,2
31,No,Travel_Rarely,Research & Development,12,246,Female,1,Research Scientist,4,Married,3929,Yes,23,1,7,3,4,2,0
34,No,Travel_Rarely,Research & Development,27,247,Female,1,Research Scientist,2,Single,2311,No,15,0,9,3,3,2,1
41,Yes,Travel_Rarely,Sales,20,248,Female,1,Sales Representative,2,Single,3140,Yes,22,0,4,2,4,3,0
50,No,Travel_Rarely,Research & Development,1,249,Male,1,Laboratory Technician,3,Married,3690,No,15,1,5,2,3,2,0
53,No,Travel_Rarely,Research & Development,13,250,Female,2,Manufacturing Director,1,Divorced,4450,No,11,2,5,3,4,2,1
33,No,Travel_Rarely,Research & Development,14,252,Female,1,Research Scientist,2,Married,2756,No,13,1,8,3,8,7,1
40,No,Travel_Rarely,Research & Development,4,253,Female,5,Manager,3,Married,19033,No,14,1,21,3,20,8,9
55,No,Travel_Rarely,Research & Development,14,254,Male,5,Research Director,2,Single,18722,No,11,0,36,3,24,15,2
34,No,Travel_Frequently,Research & Development,2,256,Male,2,Manufacturing Director,3,Married,9547,No,17,0,10,2,10,9,1
51,No,Travel_Rarely,Research & Development,3,258,Female,4,Healthcare Representative,2,Single,13734,No,18,0,21,3,7,7,1
52,No,Travel_Rarely,Research & Development,1,259,Male,5,Manager,3,Married,19999,No,14,1,34,3,33,18,11
27,No,Travel_Rarely,Research & Development,9,260,Female,1,Research Scientist,2,Single,2279,No,16,0,7,2,7,7,0
35,Yes,Travel_Rarely,Research & Development,23,261,Male,2,Manufacturing Director,3,Married,5916,Yes,13,0,8,3,1,0,0
43,No,Non-Travel,Research & Development,7,262,Male,1,Research Scientist,4,Divorced,2089,No,14,3,7,4,5,4,2
45,No,Non-Travel,Research & Development,2,264,Male,4,Manager,4,Married,16792,No,23,1,22,3,20,8,11
37,No,Travel_Rarely,Research & Development,21,267,Male,1,Research Scientist,1,Married,3564,Yes,12,1,8,2,8,7,1
35,No,Travel_Frequently,Research & Development,2,269,Female,2,Laboratory Technician,2,Single,4425,No,11,0,10,3,6,2,1
42,No,Non-Travel,Research & Development,21,270,Female,2,Manufacturing Director,3,Divorced,5265,No,16,1,11,3,5,3,0
38,No,Travel_Rarely,Research & Development,2,271,Male,2,Manufacturing Director,3,Married,6553,No,14,0,14,3,1,0,0
38,No,Travel_Rarely,Research & Development,29,273,Male,2,Manufacturing Director,4,Married,6261,No,18,1,9,1,7,7,1
27,No,Travel_Frequently,Research & Development,1,274,Male,2,Manufacturing Director,1,Married,4298,No,19,1,6,3,2,2,2
49,No,Non-Travel,Research & Development,18,275,Male,2,Manufacturing Director,4,Divorced,6804,Yes,15,2,7,3,7,7,1
34,No,Travel_Frequently,Research & Development,10,277,Male,1,Research Scientist,3,Divorced,3815,Yes,17,1,5,4,5,3,2
40,No,Travel_Rarely,Research & Development,19,281,Male,2,Laboratory Technician,4,Married,2741,Yes,15,1,15,4,7,2,3
38,Yes,Travel_Rarely,Research & Development,29,282,Male,2,Healthcare Representative,1,Married,6673,Yes,19,0,17,3,1,0,0
29,Yes,Travel_Rarely,Sales,27,283,Female,3,Sales Executive,4,Married,7639,No,22,3,10,2,10,4,1
22,No,Travel_Rarely,Research & Development,5,284,Male,1,Research Scientist,2,Divorced,2328,Yes,16,1,4,2,4,2,2
36,No,Travel_Frequently,Research & Development,18,286,Female,1,Laboratory Technician,4,Single,2153,No,13,0,8,3,8,1,1
40,No,Non-Travel,Research & Development,9,287,Male,2,Healthcare Representative,4,Married,4876,No,14,1,5,1,3,2,0
46,No,Travel_Rarely,Research & Development,1,288,Male,3,Healthcare Representative,1,Divorced,9396,No,16,1,17,3,4,2,0
32,Yes,Travel_Rarely,Sales,4,291,Male,3,Sales Executive,4,Married,10400,No,11,0,14,2,14,8,9
30,No,Non-Travel,Research & Development,1,292,Male,3,Manufacturing Director,3,Single,8474,No,22,0,12,3,11,8,5
27,No,Travel_Frequently,Sales,20,293,Female,2,Sales Executive,3,Single,9981,No,14,0,7,3,7,7,0
51,No,Travel_Rarely,Research & Development,8,296,Male,3,Research Director,2,Married,12490,No,16,2,16,1,10,9,4
30,Yes,Travel_Rarely,Research & Development,3,297,Female,1,Research Scientist,1,Single,2657,Yes,11,0,8,3,5,2,0
41,No,Travel_Rarely,Sales,6,298,Female,3,Manager,4,Single,13591,Yes,18,0,16,3,1,0,0
30,Yes,Travel_Frequently,Sales,26,299,Female,2,Sales Executive,1,Single,6696,No,15,0,9,2,6,3,0
29,Yes,Travel_Rarely,Research & Development,1,300,Male,1,Research Scientist,3,Single,2058,No,14,0,7,2,6,2,1
45,No,Non-Travel,Sales,6,302,Female,3,Sales Executive,4,Single,8865,No,12,0,23,3,19,7,12
54,No,Travel_Rarely,Sales,3,303,Female,2,Sales Executive,1,Married,5940,No,14,1,16,3,6,2,0
36,No,Travel_Rarely,Research & Development,5,304,Male,2,Laboratory Technician,2,Single,5914,No,16,0,16,4,13,11,3
33,No,Travel_Rarely,Research & Development,4,305,Female,1,Research Scientist,2,Married,2622,No,21,0,7,3,3,2,1
37,No,Travel_Frequently,Research & Development,11,306,Male,3,Research Director,4,Divorced,12185,Yes,14,3,10,3,10,8,0
38,No,Travel_Rarely,Sales,3,307,Male,3,Sales Executive,3,Divorced,10609,No,12,2,17,2,16,10,5
31,No,Non-Travel,Research & Development,1,308,Male,2,Manufacturing Director,3,Married,4345,No,12,1,6,3,5,4,1
59,No,Travel_Rarely,Research & Development,3,309,Male,1,Research Scientist,4,Married,2177,No,17,1,7,3,1,0,0
37,No,Travel_Frequently,Sales,4,311,Male,1,Sales Representative,4,Divorced,2793,No,17,1,13,3,9,8,5
